dataset,model,split,phase,frames,iou,dice,precision,recall,failure,boundary_f1,component_count,pred_gt_area_ratio,bbox_iou
MoCH,ZoomNeXt_Baseline,All,early,1248,0.30206104113683097,0.3534293506425853,0.49564355387709114,0.3241746933817855,0.6185897435897436,0.18685879614104928,1.6330128205128205,0.42985777853041146,0.3345732227091187
MoCH,ZoomNeXt_Baseline,All,middle,1223,0.35357081872931323,0.4191401025032074,0.5479267744087252,0.386502845127582,0.5216680294358136,0.2021644665320109,1.6794766966475878,0.4936710437572022,0.3787992883309825
MoCH,ZoomNeXt_Baseline,All,late,1271,0.508160467811533,0.5843034781109759,0.716816365869894,0.5475266344914099,0.34067663257277736,0.295791201906431,1.5743509047993707,0.6281513976766395,0.5369531947207439
MoCH,ZoomNeXt_Baseline,Train,early,650,0.3430562403903643,0.39797546263047945,0.5230200190066719,0.3660339045993294,0.5738461538461539,0.21094052501271046,1.6523076923076923,0.47805505999756354,0.36585117698373126
MoCH,ZoomNeXt_Baseline,Train,middle,634,0.37582111868741164,0.4439393615989062,0.566748703073972,0.4085984473496652,0.4968454258675079,0.20538278596336232,1.6261829652996846,0.5114575438700222,0.3833848084395719
MoCH,ZoomNeXt_Baseline,Train,late,659,0.5256624149988183,0.6078540054218483,0.7385776505526528,0.5697218687415883,0.30652503793626706,0.2862579851252792,1.4962063732928679,0.6585850171413599,0.5493312428566435
MoCH,ZoomNeXt_Baseline,Validation,early,158,0.3933474489599953,0.4416332921730799,0.6686931185774796,0.4169181148648856,0.5253164556962026,0.2576240003420556,1.259493670886076,0.4798012175271309,0.4248617534879453
MoCH,ZoomNeXt_Baseline,Validation,middle,153,0.4542007849605462,0.49566792670108656,0.5429345284010763,0.4848828506742432,0.45751633986928103,0.29153170180870985,1.2745098039215685,0.554937117621758,0.4837336746031211
MoCH,ZoomNeXt_Baseline,Validation,late,161,0.5184862442270533,0.5717330932401042,0.6175281511446361,0.5514866995988753,0.35403726708074534,0.3329027979423853,1.2484472049689441,0.6196725815350349,0.5269399498878347
MoCH,ZoomNeXt_Baseline,Test,early,440,0.20871983215761133,0.25594936074724584,0.3930605230659801,0.22903390273239158,0.7181818181818181,0.1258723733448248,1.7386363636363635,0.34072301417784195,0.25594536329649875
MoCH,ZoomNeXt_Baseline,Test,middle,436,0.28590321550267783,0.3562238470698391,0.5223091387789174,0.3198497427022611,0.5802752293577982,0.1661240960806079,1.8990825688073394,0.44630785482875046,0.33530804785281065
MoCH,ZoomNeXt_Baseline,Test,late,451,0.4789005272365446,0.5543789425596354,0.7204631861910212,0.5136813354821648,0.3858093126385809,0.2964728491281389,1.8048780487804879,0.5867086796534636,0.522440996708639
MoCH,ZoomNeXt-CamLock,All,early,1248,0.3402042538822963,0.40285600577157626,0.4736041060107772,0.3942133389622803,0.5512820512820513,0.19866414830598197,2.2323717948717947,1.9897993295580905,0.3761760676037639
MoCH,ZoomNeXt-CamLock,All,middle,1223,0.43702438555076245,0.5264197244824511,0.5674921077137137,0.5573064075268609,0.3883892068683565,0.227636892262716,2.4063777596075226,2.460669290108057,0.4419833838130612
MoCH,ZoomNeXt-CamLock,All,late,1271,0.6094479920387431,0.7090699084666507,0.7490405808098314,0.7440506439953263,0.17702596380802518,0.3249792167217569,2.264358772619984,1.8544709091852651,0.5967815967266692
MoCH,ZoomNeXt-CamLock,Train,early,650,0.3866840003687083,0.4509866678278381,0.517350512822501,0.42914359975765626,0.4876923076923077,0.22363097212918542,2.249230769230769,1.8719321843141565,0.42079654699088836
MoCH,ZoomNeXt-CamLock,Train,middle,634,0.4669945922862964,0.5564350881463473,0.5940216134616143,0.5652189001305604,0.3422712933753943,0.23472801305186852,2.4353312302839116,2.1041705352058133,0.4610033263499369
MoCH,ZoomNeXt-CamLock,Train,late,659,0.6548579306211422,0.7591388291925589,0.8077442542327885,0.759631699958267,0.1062215477996965,0.3263471476231699,2.1365705614567525,1.2742023067131694,0.6153233278342292
MoCH,ZoomNeXt-CamLock,Validation,early,158,0.4416264188742758,0.5130325626028458,0.5673677727032586,0.5449401418274527,0.43670886075949367,0.2726034794343864,1.981012658227848,2.574847594671893,0.45273117738592006
MoCH,ZoomNeXt-CamLock,Validation,middle,153,0.534672286471051,0.6052773952271255,0.5961791927985299,0.710760358889523,0.35947712418300654,0.3054674831711577,2.0980392156862746,3.824610546703826,0.5411528930702849
MoCH,ZoomNeXt-CamLock,Validation,late,161,0.5620304992387688,0.6247427871882855,0.6394627974403573,0.7055499319622103,0.2919254658385093,0.33910653003183044,2.248447204968944,3.915229905672181,0.567827692277555
MoCH,ZoomNeXt-CamLock,Test,early,440,0.23512121459843147,0.2921904914172336,0.37530905199933945,0.2884871926675266,0.6863636363636364,0.135230398752868,2.297727272727273,1.9538357352866735,0.2827692063601013
MoCH,ZoomNeXt-CamLock,Test,middle,436,0.35917750502064166,0.4551009992832644,0.5188480006904433,0.4919509605790791,0.46559633027522934,0.1900133808193347,2.4724770642201834,2.500433506504547,0.379525634994863
MoCH,ZoomNeXt-CamLock,Test,late,451,0.5600224195664478,0.6660128081727337,0.7023804972993137,0.7350278031034277,0.2394678492239468,0.31793716814758166,2.456762749445676,1.9666988705926214,0.5800245630602067
